size	library	time
2x2	scipy	0,0009146919999999947
2x2	pydct	0,0010485530000000076
2x2	scipy	0,0003224659999999935
2x2	pydct	0,0013047710000000101
2x2	scipy	0,0005027370000000031
2x2	pydct	0,0009755810000000031
2x2	scipy	0,0006599030000000172
2x2	pydct	0,001098975000000002
2x2	scipy	0,0003801930000000009
2x2	pydct	0,001472049000000003
2x2	scipy	0,0003475669999999931
2x2	pydct	0,0011700639999999984
2x2	scipy	0,0003427199999999908
2x2	pydct	0,001027745999999996
2x2	scipy	0,0005842219999999954
2x2	pydct	0,0010417359999999876
2x2	scipy	0,00033263699999999674
2x2	pydct	0,0011482780000000026
2x2	scipy	0,000538380000000005
2x2	pydct	0,000984010999999979
3x3	scipy	0,0007575810000000072
3x3	pydct	0,0014691479999999757
3x3	scipy	0,0005224839999999897
3x3	pydct	0,0013550639999999892
3x3	scipy	0,0006584850000000142
3x3	pydct	0,0014735270000000023
3x3	scipy	0,00034462600000001453
3x3	pydct	0,0016760209999999998
3x3	scipy	0,0003917609999999905
3x3	pydct	0,0018265440000000133
3x3	scipy	0,0004101280000000096
3x3	pydct	0,0013368849999999821
3x3	scipy	0,0003845560000000081
3x3	pydct	0,0013105580000000172
3x3	scipy	0,00037051299999996123
3x3	pydct	0,001292206000000018
3x3	scipy	0,0003707589999999983
3x3	pydct	0,0012875459999999728
3x3	scipy	0,0005411160000000081
3x3	pydct	0,0018755169999999932
4x4	scipy	0,000408607999999977
4x4	pydct	0,001934119000000012
4x4	scipy	0,0004561539999999864
4x4	pydct	0,0019219760000000474
4x4	scipy	0,0003441459999999896
4x4	pydct	0,0019530930000000168
4x4	scipy	0,00036287200000001407
4x4	pydct	0,0009517099999999945
4x4	scipy	0,00018039300000000091
4x4	pydct	0,0009426189999999779
4x4	scipy	0,00021706399999998904
4x4	pydct	0,0009606229999999938
4x4	scipy	0,0002282490000000137
4x4	pydct	0,0009480119999999981
4x4	scipy	0,0001796809999999871
4x4	pydct	0,0009608720000000015
4x4	scipy	0,00017989299999998654
4x4	pydct	0,0008749040000000097
4x4	scipy	0,00018302199999997715
4x4	pydct	0,0009735140000000087
5x5	scipy	0,00019161000000000872
5x5	pydct	0,0014983550000000068
